site_id,GPUR,GOPS,GLOG,GTRN,GCOL,SUPINT,MAINT,COMP,OE,EP,uptime_percent,unplanned_downtime_hours,tons_per_hour,rework_rate_percent,energy_kwh_per_ton,water_m3_per_ton,cost_per_ton,maintenance_cost_per_ton,on_time_delivery_percent,supplier_defect_percent,ltifr,trifr,sifr,fifr,safety_audits_passed_percent,employees_competent_percent,frontline_stoppages_percent,OE_HARD,SAFETY_PERF
SYN_001,3.498275841275781,4.0784532302594165,3.7289606781638733,4.35191562780118,3.311954345317227,3.551837901722659,4.075462599414652,4.374837622105822,3.7828165286923516,3.6279783012824955,89.26851706302192,152.44511686705115,277.80210611002593,2.070557388478306,47.800779870459195,0.8272762561807367,592.3514161239596,132.0292018961952,88.94744065818608,2.0183688135976867,0.32528606631384493,0.5029457160956562,0.18231526994441674,0.0,97.91605629665032,97.63421088134332,14.353293201882947,0.7757429242533619,2.1758365265448547
SYN_002,3.3911419249780135,3.4381070434781495,3.133906007339588,3.0408488763259216,3.032608946253809,3.334068537808504,3.3241553030361466,3.5935045559710077,3.3048419584242765,3.1270726841970355,80.96214225988987,205.27015282359469,234.67193824203278,3.4677853480364256,55.075490469623176,1.0334150349607847,632.1196537088642,168.8343205224714,79.78523876074135,3.735916069230822,0.7319274811105608,1.2921280606353511,0.4550863974729732,0.12926654004203728,66.40854408016378,70.78099700515725,33.41169294373954,-0.47797925025080396,-0.9709015788354882
SYN_003,3.9701220414326897,3.678948507591667,4.186430594245246,3.6744567901823233,3.836863441645913,3.794836156033032,3.5384407193827343,3.7848931342566052,3.751903140164618,3.7302617202051547,92.52172119927562,168.28825938575068,293.43761329563205,2.506162625186999,48.434696599680755,0.8289937735586342,584.4001410223791,148.39906543894708,79.71411783429559,2.227160020949349,0.5860927631107278,0.8964621636811828,0.3797978675169108,0.08140038990662775,88.3742661360108,86.61771474224484,29.662683003712303,0.5387333027897654,0.49295416341290227
SYN_004,3.9396679220395177,3.6303271743990035,3.830259812509476,3.8794872289294693,4.156113859884644,4.361385428986946,3.9466560927025505,3.9633487289534624,4.0131064424463725,4.069425609739289,95.00754235778442,119.0475511737981,285.2070452332865,1.792182714614516,47.375043856857765,0.808690431681681,558.6442431172849,120.16588223336707,94.70758964094387,1.5014652754176976,0.5677756358951854,0.9317059807807888,0.40040650336205685,0.046250044064175,81.61474777955127,72.1014124396291,30.805973416711865,1.2464563788375573,0.3349788313373142
SYN_005,2.6304323395683062,1.4269005888196147,2.261690158877532,2.6674920441341623,2.844958219212733,2.694485550865452,1.9275119350417003,2.406216583462982,2.087899692447661,2.469301796779462,70.0,260.0,150.0,6.0,60.0,1.5,800.0,251.12592668040085,66.8319066676856,5.785459126581959,0.9721089004974608,1.561150327974688,0.6677867850209436,0.1406951312230545,57.61622756417123,55.78390550112358,42.755463271697614,-2.59246639831912,-2.480212327515889
SYN_006,2.835507858229318,2.7029327231461098,3.09933878374721,2.5396291524328616,3.2179370220614074,3.660018523479823,2.9017933245558316,3.1131593991101845,2.975263569744789,2.6354480966486515,77.56169425685772,235.75993408508128,234.31382505730136,3.5374406308289634,55.9788262087104,1.3090438059606122,695.1115808319822,170.96030069166943,80.1834277610162,3.3459688433581225,0.7983663719488403,1.1567933445063634,0.5199474677385968,0.12027284008539094,70.00504087363065,64.26019515743339,36.48377434774419,-0.9401368128012781,-1.0608034192263052
SYN_007,3.3212765309471615,4.122305763140241,3.6212126066169654,3.0424690206543072,3.3171643139703098,3.292666753880806,3.7434635377420236,2.727801262636147,3.1990147149113484,2.9771578297988257,76.18368905528341,208.09042230227675,223.6146139169604,3.2350900617446516,51.37752386636131,0.981597380557738,695.7330469475373,153.10293570605555,91.36666411045715,2.747493566159489,0.7516353083171091,1.0338976838936769,0.47897096773260467,0.1334102189134555,79.53367117914304,62.69816929635035,35.422987667943076,-0.2928890477066442,-0.7197596222433444
SYN_008,3.528246497043318,3.296174897302158,3.4528159426542486,3.562767423474348,2.9476035191955337,2.9908396996886553,3.141328237622745,3.1445387781902854,2.9274966701878116,3.3679427776481745,75.65953599438637,228.22361444645674,204.40585253994962,3.959161304833488,54.354212084282885,1.056223151142289,701.4363483566216,192.99008920054905,78.17287964649816,3.346018782839168,0.5909166190861734,0.9437453487044426,0.2630199442716904,0.0349329004333353,81.88169483740786,80.81766128381857,29.269429234818325,-1.0082080187090365,0.4410984576873661
SYN_009,3.111351318819088,3.212145861359016,3.0794491616295687,3.3700350862312556,3.5800583755512005,3.349270654753455,3.4058916109952055,3.6640779393549927,3.9511662224827644,3.304964073780694,97.28068875246561,136.39485108137302,328.6387850909558,2.4833055002319675,51.67631996989788,1.0510088796039436,576.5991919426289,173.3924726538591,87.12492152801228,2.5989808424336287,0.6214480609206788,1.0304514602386696,0.3922445711110695,0.07961293150290538,76.791192105687,75.307616810771,25.127197540567423,0.617376053652896,0.08934020407554996
SYN_010,2.41597200968777,3.165453652450918,2.967296315523591,3.6763498533368173,2.83980899609565,2.4585800475833253,3.444930429496741,3.794294275858352,3.4149468319715077,3.1341633233753368,84.36261159514048,180.67239783124683,251.74160267174952,3.381195875223593,56.9634006577228,1.2062696802103172,679.1805019870167,192.10009274016835,77.03815794072817,4.192169602628054,0.4529184934969576,0.6959420905177911,0.2856948793791135,0.01954784515634876,90.95718487303226,85.64249206945685,22.072529890714744,-0.6719848983616581,1.018282751972447
